Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"48,322","90,414","54,083","49,335","34,054"
,China,"1,765","3,099","26,305","33,699","24,876"
,Egypt,17,513,102,,"5,669"
,South Africa,"23,780","10,334","13,089","9,875","3,003"
,United Arab Emirates,"1,096","9,236","9,403","1,444",406
,India,"5,774","13,121","2,335",126,66
,"Korea, Republic of",393,305,,114,28
,Japan,"3,667",594,,2,4
,Indonesia,0,"15,880","1,947","1,425",
,Italy,10,,,1,
,Kenya,25,3,33,96,
,Malaysia,"4,940","16,229",109,"2,227",
,"Taipei, Chinese",178,"2,803",34,,
,"Moldova, Republic of",0,630,,,
,Russian Federation,"1,307","4,222",,,
,Saudi Arabia,279,,,,
,Viet Nam,466,"5,716",33,16,
,Eswatini,2,,,,
,Türkiye,85,"1,739",565,,
,Ukraine,"4,520","5,989",28,,
,United Kingdom,18,,,,
,"Tanzania, United Republic of",0,,100,312,
