Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"208,750","260,780","182,242","219,496","225,309"
,Japan,"133,625","116,079","106,091","88,468","111,160"
,China,"44,929","102,193","68,323","103,222","100,798"
,"Korea, Republic of","13,752","34,380","4,676","24,264","11,843"
,India,"2,046","5,039","1,621","2,755",712
,Kenya,143,336,129,117,435
,United Arab Emirates,91,,,,261
,Belgium,,,,,96
,South Africa,33,"1,558","1,384",656,4
,Malaysia,77,2,,12,
,Chinese Taipei,"8,996",735,,,
,Netherlands,,15,,,
,Singapore,120,,,,
,Türkiye,"1,062",429,,,
,Ukraine,204,1,,,
,Egypt,"3,675",,17,,
,United Kingdom,,,,1,
,"Tanzania, United Republic of",,12,1,,
