Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,132,131,193,177,"1,473"
,United Kingdom,9,,2,1,918
,China,43,43,106,78,396
,India,36,29,63,43,72
,Italy,1,3,5,4,53
,Germany,3,20,3,15,13
,United States of America,1,,1,3,10
,Jordan,,,,,5
,United Arab Emirates,15,19,2,14,2
,Kenya,2,,4,,1
,South Africa,2,3,4,5,1
,Austria,1,3,,4,
,France,,1,,,
,Hungary,,2,,8,
,Japan,18,1,1,,
,Malaysia,,6,,,
,"Taipei, Chinese",,1,,1,
,Switzerland,1,,,,
