Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"3,096","7,434","10,719","17,078","49,557"
,India,"1,909","4,666","8,575","10,429","21,112"
,China,453,981,"1,189","6,059","15,271"
,Italy,499,183,4,38,"8,406"
,Thailand,0,,,,"2,959"
,Germany,0,,,,673
,United States of America,97,"1,011",295,370,621
,"Taipei, Chinese",11,250,523,39,498
,"Hong Kong, China",1,2,2,,7
,Spain,0,24,,2,7
,Japan,19,14,43,30,5
,Sri Lanka,0,,7,,
,France,0,11,,2,
,Ghana,0,,35,,
,Kenya,14,,,,
,Malaysia,0,6,,,
,Mauritius,42,,3,,
,Netherlands,0,3,,,
,South Africa,4,28,8,,
,Eswatini,0,200,,,
,Sweden,0,,11,,
,United Arab Emirates,0,1,,72,
,Türkiye,43,2,6,27,
,Egypt,0,48,,,
,"Tanzania, United Republic of",3,3,16,9,
