Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"5,914","12,218","16,482","9,639","15,102"
,"Tanzania, United Republic of","3,291","5,559","8,121","8,281","14,685"
,India,,1,1,2,395
,United Arab Emirates,,,,,15
,China,7,,,,3
,Türkiye,,,1,1,2
,Qatar,,,,,1
,Kenya,24,345,,14,
,Mozambique,,"6,244","1,088",,
,Russian Federation,802,,,,
,South Africa,"1,789",,"7,203","1,319",
,United States of America,,69,69,23,
