Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"6,850","7,068","9,040","8,212","11,201"
,China,"3,195","3,782","4,504","4,538","6,668"
,Kenya,"2,085","1,590","2,505","2,116","2,685"
,India,"1,006","1,447",733,"1,416","1,321"
,Türkiye,10,4,14,2,193
,Czech Republic,21,23,,,172
,Egypt,,,,,60
,United Kingdom,,,15,,41
,Japan,4,,21,,27
,Malaysia,2,7,,,8
,United Arab Emirates,7,27,7,60,8
,Thailand,,,,,5
,Netherlands,4,,,,4
,Germany,2,15,8,2,3
,France,,16,,14,2
,Italy,,8,14,7,2
,South Africa,1,8,3,5,2
,United States of America,5,3,"1,201",1,1
,Australia,,,,2,
,Denmark,,3,4,,
,Lebanon,,,,48,
,"Taipei, Chinese",1,,,,
,Singapore,,,12,,
,"Tanzania, United Republic of",505,135,,,
