Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"33,958","41,756","64,667","72,357","72,847"
,South Sudan,"3,675","6,218","8,225","14,872","21,910"
,Kenya,"19,170","21,412","33,123","30,901","20,701"
,United Kingdom,"2,148","4,770","1,469","13,493","16,095"
,"Congo, Democratic Republic of the","3,843","3,296","7,778","6,966","7,041"
,Malawi,"1,753","4,562","8,496","2,419","3,083"
,Belgium,287,,399,"2,117","2,624"
,Burundi,43,26,29,404,473
,South Africa,"1,356",319,,,399
,Germany,0,,,,192
,China,46,637,29,95,112
,Rwanda,107,143,"2,012","1,013",56
,"Tanzania, United Republic of",5,1,"2,541",28,47
,Sudan,0,,,6,43
,United States of America,0,,,,40
,India,38,5,29,21,16
,Japan,29,20,,,15
,Brazil,"1,133",25,,,
,"Korea, Republic of",0,,3,,
,Latvia,309,,,,
,Mauritania,0,,,22,
,Poland,0,320,533,,
,United Arab Emirates,13,,1,,
