Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"90,414","54,083","49,335","34,054","15,770"
,China,"3,099","26,305","33,699","24,876","9,485"
,South Africa,"10,334","13,089","9,875","3,003","4,411"
,Egypt,513,102,,"5,669","1,750"
,Kenya,3,33,96,,61
,India,"13,121","2,335",126,66,60
,Japan,594,,2,4,3
,Italy,,,1,,1
,Indonesia,"15,880","1,947","1,425",,
,"Korea, Republic of",305,,114,28,
,Malaysia,"16,229",109,"2,227",,
,Chinese Taipei,"2,803",34,,,
,"Moldova, Republic of",630,,,,
,Russian Federation,"4,222",,,,
,Viet Nam,"5,716",33,16,,
,United Arab Emirates,"9,236","9,403","1,444",406,
,Türkiye,"1,739",565,,,
,Ukraine,"5,989",28,,,
,"Tanzania, United Republic of",,100,312,,
